,1,2,4,3,11,5,9,6,7,8,10,0,FPR_actual,size,12
0,398,162,52,94,13,5,4,6,4,2,1,2716,8.348909306617076e-08,9000,
1,389,172,48,130,13,24,4,7,4,2,1,2663,1.4526984837937307e-07,10500,
2,389,172,48,130,13,24,4,7,4,2,1,2663,4.2829963375178644e-08,12000,
3,389,172,48,130,13,24,4,7,4,2,1,2663,9.798087511855938e-09,13500,
4,2639,301,59,194,6,31,4,4,5,3,3,201,2.8966256254330583e-06,15000,7.0
5,398,162,52,94,13,5,4,6,4,2,1,2716,9.692479391800006e-08,16500,
6,389,172,48,130,13,24,4,7,4,2,1,2663,6.3364877322182105e-09,18000,
7,285,259,46,144,1,28,3,4,5,3,4,2663,1.4667795676431044e-08,19500,12.0
8,285,259,46,144,1,28,3,4,5,3,4,2663,1.7601354811717251e-10,21000,12.0
9,2619,311,72,180,1,41,3,5,5,3,4,201,1.2731646645648185e-07,22500,12.0
10,2619,311,72,180,1,41,3,5,5,3,4,201,3.6669489186774725e-08,24000,12.0
