,size,false_positive_rating,num_regions,optimal_c,model_FP,bloom_FP
0,9000,8.348909306617076e-08,11,2.400000000000001,37,2809
1,10500,1.4526984837937307e-07,11,2.500000000000001,6,4946
2,12000,4.2829963375178644e-08,11,2.500000000000001,6,1454
3,13500,9.798087511855938e-09,11,2.500000000000001,6,328
4,15000,2.8966256254330583e-06,12,2.500000000000001,2,98739
5,16500,9.692479391800006e-08,11,2.400000000000001,37,3267
6,18000,6.3364877322182105e-09,11,2.500000000000001,6,210
7,19500,1.4667795676431044e-08,12,2.3000000000000007,6,494
8,21000,1.7601354811717251e-10,12,2.3000000000000007,6,0
9,22500,1.2731646645648185e-07,12,2.400000000000001,2,4338
10,24000,3.6669489186774725e-08,12,2.400000000000001,2,1248
