,size,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones,model_FP,bloom_FP,tau_val
0,3,0.4637991774117974,0.5,0.19671832428023533,1,0.3333333333333333,68013,92340,4.70676576178983e-07
1,17,0.2609895354285615,0.25,0.18958575568783298,5,0.29411764705882354,65547,24687,3.202541652351843e-07
2,239,0.11188240806622356,0.125,0.10811365831930538,10,0.04184100418410042,37379,1303,1.98945769312766e-07
3,740,0.06533849330996304,0.0625,0.06457201696082004,14,0.01891891891891892,22325,265,2.9114015021380394e-07
4,1560,0.03129826631726915,0.03125,0.030832595780620007,22,0.014093529788597053,10660,161,2.9114015021380394e-07
5,2665,0.01564768697684374,0.015625,0.015413405526728333,31,0.011601796407185628,5329,81,2.5232146351863005e-07
6,3840,0.00782673585200354,0.0078125,0.007673440582174942,40,0.01020408163265306,2653,53,2.2320744849724964e-07
7,4716,0.003936506834655144,0.00390625,0.0038497359272049933,55,0.01166242578456319,1331,30,1.698317542913856e-07
8,6433,0.0019292065089750042,0.001953125,0.0018858210552499292,72,0.011220196353436185,652,15,1.5527474678069542e-07
9,7967,0.0009978654356767264,0.0009765625,0.0009949730720950547,97,0.012042209807572936,344,1,1.2616073175931503e-07
10,8281,0.0005958268978243642,0.00048828125,0.0005697956255893191,120,0.014491003501992512,197,9,7.278503755345099e-08
11,13832,0.00021981963220704694,0.000244140625,0.0,3304,0.4072978303747535,0,76,7.763737339034771e-08
12,64837,0.00012437163401188183,0.0001220703125,0.0,32361,0.499113160695282,0,43,0.0001391261731155031
13,32643,5.784727163343341e-05,6.103515625e-05,0.0,13454,0.4121557454890788,0,20,2.3776445600793985e-07
14,74811,2.8923635816716704e-05,3.0517578125e-05,0.0,37424,0.500247289837056,0,10,9.13015511070489e-05
15,79799,1.4461817908358352e-05,1.52587890625e-05,0.0,39860,0.4995050063284001,0,5,0.00013726287615413473
16,81772,8.677090745015011e-06,7.62939453125e-06,0.0,40312,0.49233023937469467,0,3,5.9625502763787036e-05
17,87197,2.8923635816716704e-06,3.814697265625e-06,0.0,42835,0.8899854560565136,0,1,7.950067035171605e-05
18,92185,2.8923635816716704e-06,1.9073486328125e-06,0.0,45420,0.4793111090005382,0,1,7.950067035171605e-05
19,97172,0.0,9.5367431640625e-07,0.0,47893,0.7223135510142523,0,0,7.950067035171605e-05
20,102159,0.0,4.76837158203125e-07,0.0,50444,0.8054930139720559,0,0,7.950067035171605e-05
21,107147,0.0,2.384185791015625e-07,0.0,52856,0.6929208180388045,0,0,7.950067035171605e-05
22,112134,0.0,1.1920928955078125e-07,0.0,55339,0.9619824079546639,0,0,7.950067035171605e-05
23,117122,0.0,5.960464477539063e-08,0.0,57809,0.9247516516564555,0,0,7.950067035171605e-05
24,122109,0.0,2.9802322387695312e-08,0.0,60318,1.0272313901803505,0,0,7.950067035171605e-05
25,127096,0.0,1.4901161193847656e-08,0.0,62645,0.9833453677832543,0,0,7.950067035171605e-05
