,1,2,3,5,4,7,6,8,9,0,FPR_actual,size,10
0,109,79,19,7,9,4,2,2,4,3222,0.009876305919602656,10400,
1,143,55,12,6,5,4,3,2,2,3222,0.00987277740730555,10650,3.0
2,109,68,28,6,10,4,4,2,4,3222,0.009865720382711336,10900,
3,143,55,12,6,5,4,3,2,2,3222,0.009526983202189058,11150,3.0
4,109,79,19,7,9,4,2,2,4,3222,0.010225628637016256,11400,
5,109,79,19,7,9,4,2,2,4,3222,0.010225628637016256,11650,
6,109,79,19,7,9,4,2,2,4,3222,0.009878324228636602,11900,
7,109,68,28,6,10,4,4,2,4,3222,0.009526983202189058,12150,
8,109,56,39,4,11,5,4,1,2,3222,0.010225628637016256,12400,4.0
9,109,79,19,7,9,4,2,2,4,3222,0.009526983202189058,12650,
10,109,79,19,7,9,4,2,2,4,3222,0.009877364473291789,12900,
11,109,79,19,7,9,4,2,2,4,3222,0.009526983202189058,13150,
12,109,79,19,7,9,4,2,2,4,3222,0.009876305919602656,13400,
