,size,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones,model_FP,bloom_FP
0,2680,0.030097,0.5,0.029596333333333332,68,0.025373134328358207,88789,1502
1,5544,0.011005666666666667,0.25,0.010447333333333333,161,0.02904040404040404,31342,1675
2,9873,0.005271333333333334,0.125,0.0,2713,0.2747898308518181,0,15814
3,14201,0.0032146666666666665,0.0625,0.0,5010,0.3527920568974016,0,9644
4,18529,0.0017766666666666666,0.03125,0.0,7197,0.3884181553240866,0,5330
5,22857,0.000969,0.015625,0.0,9364,0.409677560484753,0,2907
6,27185,0.0005393333333333333,0.0078125,0.0,11638,0.42810373367665994,0,1618
7,28988,0.000243,0.00390625,0.0,11952,0.412308541465434,0,729
8,29046,0.00020533333333333333,0.001953125,0.0,11928,0.41065895476141295,0,616
9,29075,0.00018466666666666666,0.0009765625,0.0,11869,0.4082201203783319,0,554
10,29090,0.00019566666666666666,0.00048828125,0.0,11903,0.40917841182536957,0,587
11,29097,0.00019833333333333332,0.000244140625,0.0,11872,0.4080145719489982,0,595
12,29101,0.00016833333333333332,0.0001220703125,0.0,11827,0.4064121507851964,0,505
13,29103,0.00018833333333333332,6.103515625e-05,0.0,11855,0.40734632168504964,0,565
14,29104,0.00019766666666666666,3.0517578125e-05,0.0,11948,0.4105277625068719,0,593
15,29104,0.000183,1.52587890625e-05,0.0,11845,0.40698873007146785,0,549
16,29104,0.000181,7.62939453125e-06,0.0,11902,0.4089472237493128,0,543
17,29104,0.000174,3.814697265625e-06,0.0,11856,0.4073666849917537,0,522
18,29104,0.00019166666666666667,1.9073486328125e-06,0.0,11949,0.4105621220450797,0,575
19,29104,0.00019266666666666667,9.5367431640625e-07,0.0,11858,0.4074354040681693,0,578
20,29105,0.00018266666666666667,4.76837158203125e-07,0.0,11883,0.4082803641985913,0,548
21,29105,0.000189,2.384185791015625e-07,0.0,11852,0.4072152551108057,0,567
22,29105,0.00018166666666666667,1.1920928955078125e-07,0.0,11874,0.4079711389795568,0,545
23,29105,0.00018966666666666668,5.960464477539063e-08,0.0,11944,0.410376224016492,0,569
24,29105,0.000187,2.9802322387695312e-08,0.0,11876,0.40803985569489776,0,561
25,29105,0.00019033333333333334,1.4901161193847656e-08,0.0,11878,0.4081085724102388,0,571
