,4,5,3,1,0,2,6,7,FPR_actual,size
0,342,568,1404,2508,640,2288,406.0,96282.0,0.003538122158986256,26767
1,342,568,1404,2508,640,2288,406.0,96282.0,0.0019160559084534388,35767
2,406,96282,2314,2508,640,2288,,,0.001189859028803297,44767
3,568,406,1746,2508,640,2288,96282.0,,0.0007459563138673919,53767
4,568,406,1746,2508,640,2288,96282.0,,0.0004306889702107248,62767
5,342,568,1404,2508,640,2288,406.0,96282.0,0.0002733418299778121,71767
6,342,568,1404,2508,640,2288,406.0,96282.0,0.00018391222792113257,80767
7,342,568,1404,2508,640,2288,406.0,96282.0,0.00012909145365467176,89767
8,568,406,1746,2508,640,2288,96282.0,,9.271559673160817e-05,98767
9,342,568,1404,2508,640,2288,406.0,96282.0,7.567352689302681e-05,107767
10,342,568,1404,2508,640,2288,406.0,96282.0,5.855074267189153e-05,116767
